kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
6878240,K02681.02,2,CANDIDATE,0.96,22.2508509,10.535818,2.07,0.15,-0.11,0.025073,0.005296,-0.002886,0.757,0.052000000000000005,-0.042,5307,2.07,0.15,-0.11,3920,6878240,22.251,0.11,0.9029151527554292,0.07851022166930283,0.9908390567749461,0.11,0.881846760529702
7899070,K02683.01,1,CANDIDATE,1.0,126.44512749999998,71.43151999999998,4.49,0.89,-0.38,0.051738,0.000614,-0.000259,0.795,0.158,-0.068,5613,4.49,0.89,-0.38,3922,7899070,126.445,0.0014,0.9984999705861958,1.9245417892426028e-06,0.9999999971087883,0.0014,0.998599997112836
7826659,K02686.01,1,CANDIDATE,1.0,211.032819,58.995075,3.43,0.21,-0.13,0.04577,0.00043,-0.005856,0.6859999999999999,0.042,-0.025,4658,3.43,0.21,-0.13,3925,7826659,211.033,0.00015,0.9984999557780516,0.00018906993567404922,0.9999997159069505,0.00015,0.9998497159495644
6432345,K02757.01,1,CANDIDATE,0.998,234.635652,21.258717,2.56,0.25,-0.19,0.026459,0.000972,-0.0008320000000000001,0.885,0.08800000000000001,-0.066,5422,2.56,0.25,-0.19,3623,6432345,234.636,0.038,0.99783201273657,0.5091589544661247,0.9977462185141543,0.038,0.9598318622106164
11076400,K02759.01,1,CANDIDATE,1.0,1.07808492,16.374084,1.01,0.03,-0.07,0.011362,0.000224,-0.0007610000000000001,0.772,0.03,-0.053,4904,1.01,0.03,-0.07,3625,11076400,1.078,0.017,0.9751315198805268,0.0148570671657853,0.9996153906044902,0.017,0.9826219289642139
8210018,K02762.01,1,CANDIDATE,1.0,132.9955503,21.028376,2.51,0.21,-0.21,0.034912,0.004927,-0.0033450000000000003,0.659,0.055,-0.055,4523,2.51,0.21,-0.21,3628,8210018,132.996,9.5e-05,0.9966665299264922,0.09964501848740455,0.9996298408349916,9.5e-05,0.9995348760001124
12602314,K02853.01,1,CANDIDATE,0.992,1.4070201180000002,15.100548000000002,1.12,0.04,-0.09,0.012061,0.000618,-0.000503,0.838,0.033,-0.066,5018,1.12,0.04,-0.09,4025,12602314,1.407,0.00052,0.9652156993239489,0.01957509262182298,0.9992804708564204,0.00052,0.998760845011575
4547603,K02855.01,1,CANDIDATE,0.963,1.4007557430000002,16.541586,1.3,0.19,-0.19,0.011144,0.00046,-0.00055,1.079,0.158,-0.142,5487,1.3,0.19,-0.19,4027,4547603,1.401,0.025,0.9762733195745953,0.014444167314428973,0.999643814006042,0.025,0.9746527186558909
10880507,K02936.01,1,CANDIDATE,0.73,6.4802138,12.623598,1.26,0.16,-0.12,0.011743,0.003996,-0.001107,0.978,0.12,-0.098,5496,1.26,0.16,-0.12,3725,10880507,6.48,6.2e-05,0.9356602783820136,0.036700266804304035,0.9973801962090624,6.2e-05,0.9973183586368974
4385148,K02942.01,1,CANDIDATE,0.9540000000000001,13.84301228,14.495762,1.98,0.5,-0.18,0.02167,0.00117,-0.000681,0.8370000000000001,0.209,-0.075,5745,1.98,0.5,-0.18,3730,4385148,13.843,0.0022,0.9632741769283911,0.029256004831118336,0.9988509685235084,0.0022,0.9966534963927567
4385148,K02942.02,2,CANDIDATE,0.973,24.2758992,12.554711,2.25,0.56,-0.2,0.024621,0.000725,-0.0013039999999999998,0.8370000000000001,0.209,-0.075,5745,2.25,0.56,-0.2,3764,4385148,24.276,0.0021,0.9437035238125512,0.05471389739814099,0.9965471317019177,0.0021,0.9944543827253437
6593150,K03037.01,1,CANDIDATE,0.998,5.4654174000000015,13.272879,1.23,0.3,-0.1,0.013557,0.000633,-0.000813,0.8290000000000001,0.207,-0.069,5612,1.23,0.3,-0.1,3468,6593150,5.465,0.0006,0.9453445177317693,0.03137743633563563,0.9981271349021869,0.0006,0.9975282586212455
5445681,K03039.01,1,CANDIDATE,0.915,20.3504704,13.67133,1.01,0.29,-0.15,0.009254,0.0004280000000000001,-0.000357,1.002,0.282,-0.152,5952,1.01,0.29,-0.15,3470,5445681,20.35,0.0025,0.9567349708678623,0.04001469990804286,0.9981150478365651,0.0025,0.9956197602169737
6357290,K03040.01,1,CANDIDATE,0.882,4.8099878,12.766799,1.59,0.43,-0.17,0.015608000000000004,0.000808,-0.000769,0.934,0.252,-0.10099999999999999,5988,1.59,0.43,-0.17,3471,6357290,4.81,0.0011,0.9371592071192204,0.034351541944240095,0.9976146315844587,0.0011,0.9965172554897158
10252275,K03130.01,1,CANDIDATE,0.988,14.863849599999998,12.112554,2.9,0.31,-0.32,0.033152,0.308327,-0.015693000000000002,0.8,0.08800000000000001,-0.08800000000000001,5159,2.9,0.31,-0.32,3866,10252275,14.864,1.0,0.9314505398578973,0.048894189923597356,0.9962166836209776,1.0,0.0
10252275,K03130.02,2,CANDIDATE,0.9940000000000001,5.65245733,10.9650345,1.05,0.12,-0.11,0.012065,0.000288,-0.002414,0.8,0.08800000000000001,-0.08800000000000001,5159,1.05,0.12,-0.11,3867,10252275,5.652,0.0066,0.9002404978161844,0.050649053763798656,0.9940879203578149,0.0066,0.9875269400834533
11455181,K03131.01,1,CANDIDATE,1.0,10.9294815,12.309964,1.21,0.36,-0.11,0.012816,0.000692,-0.000641,0.8640000000000001,0.258,-0.081,5792,1.21,0.36,-0.11,3868,11455181,10.929,0.00048,0.9327105840438781,0.04312908886240228,0.996748252724774,0.00048,0.996269813563466
6945786,K03136.01,1,CANDIDATE,0.99,2.39161966,12.415068,0.93,0.08,-0.09,0.012434,0.000687,-0.000709,0.685,0.061,-0.068,4935,0.93,0.08,-0.09,3872,6945786,2.392,0.0011,0.9296310143573682,0.03504022958849255,0.9972512931684163,0.0011,0.996154316745931
4366323,K03258.01,1,CANDIDATE,0.736,40.3511707,10.252698,1.88,0.38,-0.17,0.020966,0.001574,-0.001,0.82,0.166,-0.071,5665,1.88,0.38,-0.17,3573,4366323,40.351,0.0031,0.910144427930459,0.12001094122790656,0.9865358708653843,0.0031,0.9834776096657016
3236705,K03343.01,1,CANDIDATE,0.8640000000000001,83.2664103,11.199243,2.89,0.43,-0.47,0.022432,0.001649,-0.001221,1.137,0.198,-0.218,5539,2.89,0.43,-0.47,4687,3236705,83.266,0.051,0.9513157953044484,0.2270983505545804,0.9849632798235366,0.051,0.9347301525525362
11810124,K03344.01,2,CANDIDATE,0.9990000000000001,11.6044881,11.719749,1.88,0.28,-0.34,0.014750999999999997,0.000874,-0.000606,1.125,0.198,-0.218,5533,1.88,0.28,-0.34,4688,11810124,11.604,0.007,0.9218996983327293,0.049375159336478035,0.9955998407973103,0.007,0.9886306419117291
