kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
3745690,K00442.01,1,CANDIDATE,0.982,13.54057461,42.19916,2.17,0.31,-0.26,0.019582,0.0005070000000000001,-0.000359,1.1106133842194479,0.01506056761437602,0.015008193792298119,5465.003550774132,2.3801449421569942,0.06956540320432515,-0.05420868809210154,139,3745690,13.541,0.00033,0.9959420432333385,0.00014324037951816943,0.9999994162847692,0.00033,0.9996694164773952
3745690,K00442.02,2,CANDIDATE,1.0,1.7323464030000002,33.456579999999995,1.37,0.19,-0.16,0.012335,0.000393,-0.00023,1.1106133842194479,0.01506056761437602,0.015008193792298119,5465.003550774132,1.4992895445565586,0.051914937632550395,-0.034525707023942864,140,3745690,1.732,1.6e-05,0.9959420431982261,0.0005661751865683588,0.9999976918175133,1.6e-05,0.9999816918544442
3745690,K00442.03,3,CANDIDATE,0.868,7.0257409,15.921431,1.56,0.23,-0.18,0.014129,0.002189,-0.001547,1.1106133842194479,0.01506056761437602,0.015008193792298119,5465.003550774132,1.717345924202644,0.26708491251543276,-0.18946083368393493,141,3745690,7.026,0.0014,0.9958417784815585,0.01702907412424065,0.9999276618092183,0.0014,0.9985277630826854
6368905,K05276.01,1,CANDIDATE,0.193,220.720142,9.666938,2.0,0.28,-0.16,0.026362,0.002044,-0.001168,0.8096374070848205,0.0257215268979002,0.024294674528692047,5002.586078788009,2.335889942140554,0.19572874962015224,-0.12499632183823449,5539,6368905,220.72,0.025,0.9920859309983756,0.8668255180677057,0.9480768282725551,0.025,0.9243749075657413
6443093,K05284.01,1,CANDIDATE,0.9570000000000001,389.316341,37.24321,27.61,7.7,-3.29,0.263929,7.0420240000000005,-0.457051,1.3370648693351308,0.032671009191034495,0.03088605230143804,5624.21681276565,38.62095832735993,1030.4658809484135,-66.88661722904622,5577,6443093,389.316,1.0,0.9959420432332887,0.6555847396081551,0.992244321474103,1.0,0.0
11134879,K00480.01,1,CANDIDATE,1.0,4.30165843,83.365845,2.42,0.55,-0.24,0.025589,0.004696,-0.000878,0.8170682414771238,0.008264026841310891,0.007524388795540848,5353.5410518759645,2.2882058955947495,0.4205604809115966,-0.08129068411579621,279,11134879,4.302,0.0013,0.9959420432333574,5.013356462726016e-08,0.9999999997957313,0.0013,0.9986999997959969
2161949,K06259.01,1,CANDIDATE,0.813,4.78113942,8.089111,1.14,0.31,-0.22,0.009326,0.000654,-0.000727,1.0481791770328572,0.017463128697564608,0.01702858100772886,5576.930448703794,1.0698290699383906,0.0771116011672474,-0.0851893744520657,6792,2161949,4.781,0.016,0.9223437723366725,0.06696168110787329,0.9939575879432391,0.016,0.9780542665361472
2161949,K06259.02,2,CANDIDATE,0.9670000000000001,7.18864064,7.6470246,1.3,0.36,-0.24,0.010693,0.000681,-0.000924,1.0481791770328572,0.017463128697564608,0.01702858100772886,5576.930448703794,1.226644032259405,0.080749555183298,-0.10785337083169783,6793,2161949,7.189,0.39,0.893994758501467,0.07612157087176721,0.9902302088026802,0.39,0.6040404273696349
2557816,K00488.01,1,CANDIDATE,1.0,9.3789167,36.6241,2.03,0.41,-0.27,0.023007,0.003639,-0.0013039999999999998,0.9585483228582602,0.016846293824171462,0.015976050772944506,5627.329507564794,2.4135564440229036,0.3840997915034166,-0.14258844519480277,323,2557816,9.379,1.7e-05,0.9959420432311161,0.00037170093878546157,0.9999984849447686,1.7e-05,0.9999814849705245
3854496,K06368.01,1,CANDIDATE,1.0,9.4588054,7.9039693,1.78,0.49,-0.21,0.01527,0.000816,-0.001567,1.0245202871511605,0.0631899736522663,0.05447549692941577,5870.739605863826,1.712154908567852,0.1397244389495752,-0.19788537894166175,6489,3854496,9.459,0.0061,0.913661476741809,0.07637547329853178,0.9921859216792924,0.0061,0.9861335875570487
6607644,K04159.01,1,CANDIDATE,0.987,0.971915957,14.952725,0.79,0.05,-0.07,0.008139,9.1e-05,-0.000712,0.8801554112829426,0.013475537261213866,0.01292813894180733,5227.8008815681405,0.7839960372616492,0.01486323707836184,-0.06954406193618466,5181,6607644,0.972,0.00011,0.9957026213492354,0.0177762957552004,0.9999218903255227,0.00011,0.9998118989175868
7610663,K04160.01,1,CANDIDATE,0.987,3.03196812,14.200007,0.9,0.25,-0.14,0.008297,0.000467,-0.000361,0.976473992981417,0.009513091166046041,0.00891258928123273,5699.08437250553,0.8866765579445279,0.05064901807171799,-0.03941875327541763,5182,7610663,3.032,0.085,0.995495371451069,0.02138936517849114,0.9999010974010759,0.085,0.9149095041219845
5860968,K04384.01,1,CANDIDATE,0.997,122.358116,11.05848,2.15,0.61,-0.41,0.017273,0.001144,-0.0008880000000000002,1.2882087503324955,0.038143336050265216,0.03579186025286085,5783.156002481613,2.4352159157506788,0.1766700306203403,-0.14230750456488153,5283,5860968,122.358,0.0025,0.993398226808256,0.3745904401512258,0.9960195754745342,0.0025,0.9935295265358479
3645438,K04385.01,2,CANDIDATE,1.0,7.298141999999999,12.195742,1.6,0.09,-0.1,0.017565,0.0007099999999999999,-0.001176,0.8343940869419768,0.023875544243560528,0.02238498366639197,5148.860771742177,1.6039943254161515,0.0794366757301309,-0.1156902772215014,5284,3645438,7.298,0.00045,0.9935726547639026,0.03393705226356395,0.999772751675688,0.00045,0.999322853937434
3645438,K04385.02,1,CANDIDATE,0.9109999999999999,386.370512,13.001594,2.96,0.17,-0.19,0.032485,0.00184,-0.001359,0.8343940869419768,0.023875544243560528,0.02238498366639197,5148.860771742177,2.966453496222242,0.18824798630927303,-0.14742629409102356,5318,3645438,386.371,0.0046,0.9958794034079171,0.974995044813049,0.8386645976479752,0.0046,0.8348067404987944
3645438,K04385.03,3,CANDIDATE,0.946,17.369511199999998,8.176327,1.45,0.08,-0.09,0.015931999999999998,0.00244,-0.000843,0.8343940869419768,0.023875544243560528,0.02238498366639197,5148.860771742177,1.454872621265592,0.2266706935644443,-0.08631027659465294,5319,3645438,17.37,0.029,0.9332482017334535,0.08603314432352474,0.993267115611289,0.029,0.9644623692585615
