kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
7626506,K00150.01,1,CANDIDATE,1.0,8.408878137,132.78516000000002,2.28,0.19,-0.2,0.025693,0.00034700000000000003,-0.00014199999999999998,0.8717347014040001,0.0111580188044,0.0102261839684,5962.17075824,2.4512217807046683,0.04561093686594248,-0.031786420375014335,290,7626506,8.409,1.7e-05,0.9961747003327003,1.0528651450180044e-13,0.9999999999999996,1.7e-05,0.9999829999999995
7626506,K00150.02,2,CANDIDATE,1.0,28.5742692,87.12114,2.32,0.19,-0.2,0.026109,0.0005269999999999999,-0.000231,0.8717347014040001,0.0111580188044,0.0102261839684,5962.17075824,2.490909954945635,0.059534992000820325,-0.03659954475019771,291,7626506,28.574,2.4e-06,0.9961747003327003,3.74847695245602e-09,0.9999999999856058,2.4e-06,0.9999975999856059
8415745,K01138.01,1,FALSE POSITIVE,0.0,31.82814583,85.956215,35.8,11.17,-3.74,0.356333,67.82807,-0.00378,0.978375293852,0.0406799618708,0.0367299020187,5847.24190227,38.154430637034885,7262.70498045116,-1.4884690308262456,1837,8415745,31.828,1.0,0.9961747003327003,5.226843791361393e-09,0.9999999999799289,1.0,0.0
8346392,K01141.01,1,CANDIDATE,1.0,5.72812616,17.514835,1.38,0.09,-0.08,0.023129,0.000892,-0.0008789999999999999,0.6336883080560001,0.0154584641096,0.026182450764,4169.40379292,1.604042998575988,0.0731986493035765,-0.0900475836481529,1840,8346392,5.728,4e-05,0.996170692564576,0.009009852150597951,0.9999650509961223,4e-05,0.9999250523940825
6620003,K01225.01,1,FALSE POSITIVE,0.0,1.7142747269999998,1239.6158,25.0,0.98,-1.21,0.427965,0.043398,-0.052518,0.771222328369,0.0143412442194,0.014535526089000004,4522.64464975,36.12195965393554,3.7240434908582887,-4.4847057445660425,1568,6620003,1.714,0.77,0.9961747003327003,4.746563743108653e-119,1.0,0.77,0.22999999999999998
6387450,K01228.01,1,FALSE POSITIVE,0.0,3.661326482,1846.5966,12.07,1.66,-1.5,0.138476,0.000571,-0.000609,1.08888877831,0.0361574682202,0.034415386365,5451.17636927,16.50218638105309,0.5521777594209368,-0.5265926675763245,1571,6387450,3.661,0.16,0.9961747003327003,9.185631112005554e-177,1.0,0.16,0.84
11414511,K00767.01,1,CANDIDATE,1.0,2.816504904,1328.3038,12.21,1.62,-0.87,0.117059,0.001834,-0.000297,0.951615607873,0.0190479682092,0.017945841108,5587.28671521,12.191294483419838,0.30988991288076023,-0.23197836421986834,666,11414511,2.817,0.00098,0.9961747003327003,1.7870613796263919e-127,1.0,0.00098,0.99902
11442465,K00768.01,1,FALSE POSITIVE,0.0,33.93373447,193.4089,7.34,0.9,-0.6,0.095386,0.0005549999999999999,-0.000616,0.7745608671109999,0.0727209368729,0.0592085767426,4963.89030862,8.085812087659328,0.7606063644114334,-0.6202932495243432,667,11442465,33.934,0.56,0.9961747003327003,3.3078059222219106e-19,1.0,0.56,0.43999999999999995
11460018,K00769.01,1,CANDIDATE,1.0,4.280963604,52.913242,2.3,0.58,-0.19,0.025377,0.00014099999999999998,-0.000935,0.958223606737,0.0363343691929,0.0330094886386,5517.16006803,2.6612801903005106,0.1019892554838846,-0.13423558492426005,668,11460018,4.281,6.9e-07,0.9961747003327003,3.7743022449521837e-06,0.999999985506667,6.9e-07,0.999999295506677
11465813,K00771.01,1,FALSE POSITIVE,0.0,670.645531,96.96236,14.14,2.13,-0.71,0.131705,0.000242,-0.000326,0.8827575252240001,0.0202767861763,0.0190865026978,5769.65528561,12.724102143899831,0.2932040291162,-0.2769105228203323,670,11465813,670.646,1.0,0.9961747003327003,0.001834750278414756,0.999992941629178,1.0,0.0
5881688,K00843.01,1,CANDIDATE,1.0,4.190425659,245.59174,6.21,2.05,-0.82,0.050076,0.00173,-0.000957,1.22147889934,0.0514093195429,0.0465740610037,5728.38436071,6.69420573428179,0.3645060526349772,-0.2855113931781483,1055,5881688,4.19,0.00015,0.9961747003327003,1.7748675708101998e-24,1.0,0.00015,0.99985
6022556,K00844.01,1,CANDIDATE,1.0,3.709870784,88.43494,4.35,0.64,-0.28,0.040686,0.000711,-0.000254,1.03676521228,0.0413785360079,0.0379708605809,5676.86073596,4.616457766838899,0.20113612210030843,-0.17151354260725293,1056,6022556,3.71,1.1e-09,0.9961747003327003,1.5569525697689794e-09,0.9999999999940213,1.1e-09,0.9999999988940214
6191521,K00847.01,1,CANDIDATE,0.9420000000000001,80.87234690000003,129.28693,7.59,1.24,-1.52,0.056129,0.002618,-0.00156,1.31903738451,0.0553747529773,0.0503991412384,5732.30470839,8.102664654603897,0.5084670899977801,-0.38283590747258706,1059,6191521,80.872,0.0012,0.9961747003327003,1.2675893988719368e-12,0.9999999999999951,0.0012,0.9987999999999951
8256049,K00909.01,1,FALSE POSITIVE,0.0,16.37198661,165.18489,540.37,39.25,-58.42,8.358792999999999,65.75502,-6.592196,0.8549373425579999,0.0242901934706,0.0227858884699,4826.69514676,782.098247814736,6152.469781374746,-617.157069804651,764,8256049,16.372,,0.9961747003327003,1.0539892808955058e-16,1.0,1.0,0.0
8414716,K00910.01,1,CANDIDATE,1.0,5.392026903,66.02574,2.68,0.36,-0.19,0.030649000000000006,0.000351,-0.000787,0.848073679896,0.0280735161069,0.0261686207233,5098.44553814,2.8446795442152792,0.09964266397336952,-0.11419457240425336,765,8414716,5.392,1.1e-05,0.9961747003327003,2.193317673711543e-07,0.9999999991577683,1.1e-05,0.9999889991577775
8490993,K00911.01,1,CANDIDATE,1.0,4.093578461,31.433712,2.85,0.8,-0.34,0.026123,4.2e-05,-0.004349,0.969908190165,0.0353111136097,0.0324043174197,5783.81654036,2.7729186754458186,0.10105108938825724,-0.4708440761674431,766,8490993,4.094,0.00063,0.9961747003293164,0.00041472511609117233,0.9999984067994677,0.00063,0.999368407803184
