kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10854555,K00755.01,1,CANDIDATE,1.0,2.525591777,33.1919,2.75,0.88,-0.35,0.024064,0.003751,-0.001522,0.9097733446080544,0.03001611550025152,0.02772991150841741,5636.248423740932,2.3959871407729936,0.38175122548151363,-0.168220513554738,1273,10854555,2.526,0.001,0.9997191502648896,0.0004068091191182834,0.9999998856691591,0.001,0.99899988578349
10872983,K00756.01,1,CANDIDATE,1.0,11.09432054,55.20486500000001,3.9,1.27,-0.42,0.036779,0.005115,-0.001065,1.1175260574161532,0.053340032195805735,0.04852640272153818,5729.257344693241,4.498223507940086,0.6614033757309492,-0.23477344852591073,1274,10872983,11.094,3.6e-05,0.9997191502648896,5.792372504258739e-06,0.9999999983727473,3.6e-05,0.9999639983728059
10872983,K00756.02,2,CANDIDATE,1.0,4.13443512,33.546658,2.77,0.9,-0.3,0.026133,0.001968,-0.002055,1.1175260574161532,0.053340032195805735,0.04852640272153818,5729.257344693241,3.196173765817403,0.28496812694086715,-0.28710849003579647,1275,10872983,4.134,6.3e-06,0.9997191502648896,0.0003929778906928001,0.9999998895578567,6.3e-06,0.9999935895585524
10872983,K00756.03,3,CANDIDATE,0.992,2.56658897,12.325094,1.59,0.52,-0.17,0.014983000000000003,0.003935,-0.001417,1.1175260574161532,0.053340032195805735,0.04852640272153818,5729.257344693241,1.8324827433988506,0.4891501259711547,-0.1906995285291531,1276,10872983,2.567,7.8e-05,0.9997191502648896,0.026903196106300563,0.9999922331693025,7.8e-05,0.9999142337751153
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,0.7716872461333205,0.013675577921182014,0.01349128214714912,4931.01534216132,2.4085688840095125,0.09986390031723628,-0.056328559789054544,973,5456651,11.763,4e-05,0.9997191502648896,0.0001389689225916373,0.9999999609542243,4e-05,0.9999599609557861
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,1.117322667696358,0.047731990779455995,0.04330347358998843,5543.123705351092,4.474904967599902,0.19155849887840345,-0.4505942536864095,680,7938496,13.81,0.046,0.9997191502648896,0.0001273523828272138,0.9999999642185122,0.046,0.9539999658644607
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,0.6591336179943807,0.008589494189350509,0.008772186235922906,4314.989118108578,5.952657219685174,0.10241641568000091,-0.15532020502005364,681,8013419,12.733,0.06,0.9997191502648896,1.7129380521531137e-19,1.0,0.06,0.94
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,0.6803037519746544,0.010383404451853151,0.01009213415054422,4409.508906011572,6.404135547948291,0.10728516325503086,-0.13825162158027118,682,8018547,83.925,0.0052,0.9997191502648896,5.076540774786708e-11,0.9999999999999858,0.0052,0.9947999999999859
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,0.6791695839468904,0.009578788944022752,0.00967357699560889,4406.570615406065,1.9540503509845566,0.18851823099295803,-0.15935899430272907,684,8150320,2.211,0.0001,0.9997191502648896,0.0004428999554963851,0.9999998755215891,0.0001,0.9998998755340369
8150320,K00904.02,3,CANDIDATE,0.997,27.9541337,15.262756,1.9,0.13,-0.06,0.026973,0.001433,-0.0006940000000000001,0.6791695839468904,0.009578788944022752,0.00967357699560889,4406.570615406065,2.004891784286448,0.11020365544354291,-0.05896133079577819,685,8150320,27.954,0.019,0.9997191502648896,0.026687679214817007,0.9999922970940549,0.019,0.9809924434492678
8150320,K00904.03,5,CANDIDATE,1.0,42.1406089,13.00283,1.85,0.13,-0.05,0.026274,0.001477,-0.000608,0.6791695839468904,0.009578788944022752,0.00967357699560889,4406.570615406065,1.9529354072717953,0.11318722832095228,-0.05306683422501302,719,8150320,42.141,0.00083,0.9997191502648896,0.05661766998220081,0.9999831398954874,0.00083,0.9991531538893741
8150320,K00904.04,2,CANDIDATE,1.0,4.617490562,18.39992,1.62,0.11,-0.05,0.023024,0.002805,-0.001614,0.6791695839468904,0.009578788944022752,0.00967357699560889,4406.570615406065,1.7113642695069582,0.20988691692403513,-0.12241922408199717,720,8150320,4.617,1.0,0.9997191502648896,0.008421330345908808,0.9999976141148437,1.0,0.0
8150320,K00904.05,4,CANDIDATE,0.996,10.19849255,14.958939,1.75,0.11,-0.06,0.024778,0.005158,-0.002447,0.6791695839468904,0.009578788944022752,0.00967357699560889,4406.570615406065,1.8417383543191197,0.3842708995061542,-0.1837664293589262,721,8150320,10.198,1.0,0.9997191502648896,0.018994050185145904,0.9999945607133467,1.0,0.0
6362874,K01128.01,1,CANDIDATE,1.0,0.974868896,24.318182,1.16,0.12,-0.06,0.012716,0.000388,-0.000161,0.8366667767398642,0.005287623611801573,0.00581168749590133,5392.682912208576,1.164357912434696,0.036281811534037395,-0.016815061132757762,1793,6362874,0.975,0.00027,0.9997191502648896,0.002355191961937816,0.9999993367971697,0.00027,0.9997293369762345
