kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
9910828,K04897.01,1,FALSE POSITIVE,0.0,8.48032079,15.17209,0.95,0.11,-0.11,0.011917,0.0006730000000000001,-0.000547,0.824666025581129,0.014698718875962746,0.01332700906519002,5484.370191803482,1.0755447827806073,0.06369364822275884,-0.05233877901704657,5652,9910828,8.48,0.0025,0.9997191502648896,0.017513103073886788,0.9999949923687163,0.0025,0.9974950048877945
8803757,K04904.01,1,CANDIDATE,0.995,3.5944891000000005,8.480067,0.98,0.14,-0.12,0.00854,0.000608,-0.000601,0.8408740895106287,0.014781011933185262,0.013877504385906736,5565.376919034437,0.7859090625439733,0.057632545056800946,-0.056808616583396004,5656,8803757,3.594,0.00022,0.9997191502648896,0.05797628793450697,0.9999827104146571,0.00022,0.9997627142183659
5027859,K05117.01,1,CANDIDATE,0.9840000000000001,33.3726538,8.500976,1.95,0.43,-0.15,0.022464,0.0016010000000000002,-0.001687,0.7577825351549146,0.02498685201894201,0.02281067873170617,5370.770420805288,1.8630097931764733,0.14629805905217588,-0.15072915491598046,6051,5027859,33.373,0.097,0.9997191502648896,0.10844998975047604,0.9999658272591435,0.097,0.9029691420150067
5094412,K05124.01,1,FALSE POSITIVE,0.0,276.879492,10.918966,11.67,1.08,-1.42,0.11064,0.019992,-0.073433,0.8285731117373057,0.02624629936714229,0.024439734678250224,5298.285900581488,10.03289942152901,1.8405318924549048,-6.665519621886127,6053,5094412,276.879,0.93,0.9997191502648896,0.9345443276112352,0.9959890372882875,0.93,0.06971923261018008
7516073,K05395.01,1,FALSE POSITIVE,0.0,601.13797,7.961684,1.81,0.46,-0.56,0.011937,0.000667,-0.000951,1.2096059435438644,0.011986829164351457,0.012101966556395059,5707.2548048524695,1.5802382203658158,0.08967634198667082,-0.1268836737188727,5716,7516073,601.138,0.14,0.9997191502648896,0.9790159371234336,0.9868932145626766,0.14,0.8487281645239019
8043638,K00460.01,1,CANDIDATE,1.0,17.58751692,100.84191,4.03,0.68,-0.68,0.033351,0.000754,-0.00034700000000000003,0.9287771254498682,0.016447414329635812,0.016493299596865633,5532.782931340731,3.3900322269378003,0.09735472071717916,-0.06977232927503459,231,8043638,17.588,8e-05,0.9997191502648896,6.627783427086862e-10,0.9999999999998138,8e-05,0.9999199999998138
9456887,K05677.01,1,CANDIDATE,0.884,20.5142642,7.763436,1.14,0.12,-0.12,0.011132,0.000608,-0.001228,0.8315521128066918,0.019625238067063514,0.01856475173883565,5313.177250760792,1.013085558759105,0.06027685490376747,-0.11402185427656583,6115,9456887,20.514,0.0032,0.9997191502648896,0.09502171991321078,0.9999705028037158,0.0032,0.9967705971947439
12265150,K05963.01,1,FALSE POSITIVE,0.0,1.6860096430000002,34.93605,1.81,0.53,-0.18,0.018813,0.002097,-0.000776,0.9503245876451856,0.01407877651717504,0.01330279740148088,5583.229006582189,1.9566514857079864,0.22001697911639856,-0.085229009275565,5809,12265150,1.686,0.94,0.9997191502648896,0.0002804887344500479,0.999999921180575,0.94,0.05999999527083456
12300524,K05964.01,1,CANDIDATE,0.8320000000000001,32.033211,7.118214599999999,0.85,0.28,-0.08,0.007706999999999999,0.000567,-0.000554,1.1342399471267022,0.010348872041199051,0.009910291882375246,5908.696485387728,0.9566955489368976,0.0709228110495339,-0.06927602210290125,5810,12300524,32.033,0.00078,0.9997191502648896,0.1348451723710323,0.9999562137679353,0.00078,0.9991762479211963
9844088,K00470.01,1,CANDIDATE,1.0,3.750832927,205.47449,4.61,1.33,-0.42,0.044422,0.000546,-0.000213,0.9606753170237966,0.016690270394092762,0.016190676861992825,5671.367433185521,4.670444286680498,0.09939507257000096,-0.0818367220401225,354,9844088,3.751,0.0037,0.9997191502648896,3.1400644316465066e-19,1.0,0.0037,0.9963
12349560,K05965.01,1,CANDIDATE,0.37,43.3975622,8.565752,1.69,0.17,-0.12,0.021385,0.001388,-0.002138,0.6514392910313719,0.013485780934766269,0.01341293560065948,4623.477897422871,1.524637717305513,0.10386858616867788,-0.15562705326202628,5811,12349560,43.398,0.008,0.9997191502648896,0.13133860378006249,0.999957524560558,0.008,0.9919578643640735
12554212,K05974.01,1,CANDIDATE,0.993,4.76815507,8.264662,0.49,0.04,-0.04,0.006925,0.0006,-0.000503,0.7443179520762154,0.003193556871757485,0.003690362111428036,4714.498010295377,0.5641073094751297,0.048935615255251017,-0.04106949360168803,5812,12554212,4.768,0.48,0.9997191502648896,0.061949835926543954,0.9999814471726138,0.48,0.5199903525297592
10187017,K00082.01,1,CANDIDATE,1.0,16.145671932,210.27057,2.48,0.16,-0.1,0.030636,0.000272,-0.002572,0.7388795350025766,0.0021625766783687217,0.0015527152293254294,4783.35330107749,2.477360190075132,0.0231594239745052,-0.20804825125940754,558,10187017,16.146,8.4e-06,0.9997191502648896,1.5850575810694147e-19,1.0,8.4e-06,0.9999916
10187017,K00082.02,2,CANDIDATE,1.0,10.31174786,65.31853000000001,1.34,0.09,-0.05,0.016562999999999998,0.000184,-0.001463,0.7388795350025766,0.0021625766783687217,0.0015527152293254294,4783.35330107749,1.3393562093032512,0.015386773415814901,-0.11833801846956896,559,10187017,10.312,0.00015,0.9997191502648896,7.364244525192394e-07,0.9999999997931172,0.00015,0.9998499997931483
10187017,K00082.03,3,CANDIDATE,1.0,27.4536146,21.377993,0.95,0.06,-0.04,0.011753,0.001326,-0.001246,0.7388795350025766,0.0021625766783687217,0.0015527152293254294,4783.35330107749,0.9503986915378322,0.10726220130403773,-0.10077677109489326,560,10187017,27.454,0.0098,0.9997191502648896,0.007815464040498427,0.999997787117662,0.0098,0.9901978088039088
10187017,K00082.04,4,CANDIDATE,1.0,7.07136119,19.823141,0.63,0.04,-0.02,0.007798,0.002241,-0.000586,0.7388795350025766,0.0021625766783687217,0.0015527152293254294,4783.35330107749,0.6305801920030644,0.18122640369458567,-0.04740503294054061,561,10187017,7.071,0.0048,0.9997191502648896,0.006695554046722538,0.9999981063481002,0.0048,0.9951981154376293
